松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
江水號,安徒生咖啡,呷霸白北魚羹,長堤咖啡美食館,吾亦私,橘子園,總理餐廳,阿卿傳統飲品 冰品,亞堤咖啡,古典玫瑰園,瑪薩拉印度餐廳,老拓,大億麗緻酒店,富盛號碗粿,莉莉水果店,哈拉里咖啡專櫃,無國籍,AMIGO咖啡,轉角餐廳,3TIME,三好一公道,榮星川菜餐廳,寧記麻辣火鍋,老友小吃店,夫妻肺片麻辣鍋,山根壽司,豬排專賣店,金得春捲,石堡,兵工廠,東巧鴨肉羹,林園咖啡生活館,夏朵拉斐,達美樂,阿松割包,福記肉圓,瑪琪哈朵咖啡,大鋤花間,歐風館餐廳,Mini izzy cafe,葡苑,上品鐵板燒餐廳,洋蔥咖哩工房,民族鍋燒老店,尚品咖啡,9分10刻 西式新料理,上閤屋日本料理,珈琲哲學,清珍鴨肉羹,唐莊粵菜餐廳,千朵拉仙廚,JOKER,大長今韓式炸雞,西園日本料理,地球咖啡,歐風館,綠橄欖,Cosby Saloon,大使海鮮餐廳,小星星義大利莊園Villa Mini Star,裕成水果店,西華蛋糕,許家芋粿 蝦仁肉圓,陶湘涮涮鍋,鳳壽司,祿記肉包,北平天福樓小館,福樓小館,尼法咖啡,曼谷泰國餐廳,歐加里,廣東沙茶爐,繆思義式餐坊(原繆思園),歐納牛排館,許家芋粿、蝦仁肉圓,瑪薩拉,新泰城泰雲小館),梁記麻辣鍋,薄荷糖,武岩,小杜意麵,Willy's Grill葳苙二壘,怡東現炒,西市場,三皇三家,鍋典咖啡簡餐小火鍋,巴久焗烤,魚羊鮮豆,18巷花園香草藝術餐廳,普吉島泰國菜餐廳,檸檬樹咖啡,異人館無國界料理,小南碗粿,伊莉的店,一本花田,西門圓環永樂市場,話當年咖啡豆的經營,度小月擔仔麵,羊城油雞,周氏蝦捲,國境之南,Mr.Mark Italian Bistro,聚北海道昆布鍋,渝苑川菜餐廳,福島串燒,三好一公道當歸鴨,米尼咖啡館,赤崁食堂,花見小路,義豐阿川冬瓜茶,東北酸白菜火鍋店,阿憨鹹粥,綠色法藍絲,天香回味養生煮,PARTY,olily cafe
義美食品,玉米酥
土耳其之屋,江水號,呷霸白北魚羹,總理餐廳,大東夜市,健康煮涮涮鍋,老拓,大億麗緻酒店,富盛號碗粿,莉莉水果店,無國籍,萬川號,轉角餐廳,尼法法式餐廳,三好一公道,名湘園素菜,寧記麻辣火鍋,夫妻肺片麻辣鍋,山根壽司,馬可先生麵包坊,金得春捲,兵工廠,東巧鴨肉羹,夏朵拉斐,達美樂,阿松割包,福記肉圓,舊永瑞珍喜餅,葡苑,洋蔥咖哩工房,黑橋牌香腸肉燥飯,尚品咖啡,上閤屋日本料理,清珍鴨肉羹,唐莊粵菜餐廳,JOKER,西園日本料理,地球咖啡,Cosby Saloon,大使海鮮餐廳,觀自在素食,舊振南餅店,許家芋粿 蝦仁肉圓,陶湘涮涮鍋,鳳壽司,祿記肉包,福樓小館,尼法咖啡,曼谷泰國餐廳,廣東沙茶爐,許家芋粿、蝦仁肉圓,梁記麻辣鍋,武岩,小杜意麵,Willy's Grill葳苙二壘,怡東現炒,西市場,三皇三家,魚羊鮮豆,18巷花園香草藝術餐廳,普吉島泰國菜餐廳,異人館無國界料理,小南碗粿,天心岩素食餐廳,西門圓環永樂市場,綠素界,度小月擔仔麵,羊城油雞,周氏蝦捲,渝苑川菜餐廳,福島串燒,三好一公道當歸鴨,赤崁食堂,義豐阿川冬瓜茶,阿憨鹹粥,明新食品
江水號,呷霸白北魚羹,總理餐廳,大東夜市,健康煮涮涮鍋,大億麗緻酒店,富盛號碗粿,莉莉水果店,無國籍,萬川號,三好一公道,名湘園素菜,寧記麻辣火鍋,夫妻肺片麻辣鍋,山根壽司,馬可先生麵包坊,金得春捲,兵工廠,東巧鴨肉羹,夏朵拉斐,達美樂,阿松割包,福記肉圓,舊永瑞珍喜餅,葡苑,洋蔥咖哩工房,黑橋牌香腸肉燥飯,尚品咖啡,上閤屋日本料理,清珍鴨肉羹,唐莊粵菜餐廳,西園日本料理,地球咖啡,Cosby Saloon,大使海鮮餐廳,觀自在素食,舊振南餅店,許家芋粿 蝦仁肉圓,陶湘涮涮鍋,鳳壽司,祿記肉包,福樓小館,廣東沙茶爐,許家芋粿、蝦仁肉圓,梁記麻辣鍋,武岩,小杜意麵,Willy's Grill葳苙二壘,怡東現炒,西市場,三皇三家,魚羊鮮豆,異人館無國界料理,小南碗粿,天心岩素食餐廳,西門圓環永樂市場,綠素界,度小月擔仔麵,羊城油雞,周氏蝦捲,渝苑川菜餐廳,福島串燒,三好一公道當歸鴨,赤崁食堂,義豐阿川冬瓜茶,阿憨鹹粥,明新食品
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
江水號,克林台包,豐發黑輪,友愛鹹酥雞,蜜桃香冷飲店,松村燻之味,呷霸白北魚羹,妙壽宮,阿鳳浮水虱目魚焿,曜任自助餐,肉伯火雞肉飯,雙全紅茶,水交社包子店,官記臭豆腐,櫻波布丁(銀波貝特美布丁),醇涎坊鍋燒意麵,富川麻糬,戽斗米糕,冷家麵店,大東夜市,阿粉姨牛奶紅茶,石舂臼海鮮粥,東林鮢過魚湯,上好鱔魚意麵,富盛號碗粿,莉莉水果店,肯德基,正合興蜜餞行,原水仙宮當歸鴨,赤崁樓浮水花枝羹專賣店,蒙古烤肉,黃日香素食餐坊,遠馨阿婆肉粽,花蓮老牌炸蛋蔥油餅,三好一公道,安平東興蚵嗲,茂雄蝦仁肉圓,老友小吃店,延平粿仔嬤,下大道米糕,粿仔嬤,阿銘牛肉湯,米糕專門,阿嘉香腸熟肉,老曾羊肉店,沙卡里巴老牌鱔魚意麵,西井村蜂蜜滷味,鄭牛肉湯,水仙宮清淇當歸鴨,台南黑豆漿大王,金得春捲,帝元薑母鴨,港式臭豆腐,劉家楊桃湯,水餃之家,東巧鴨肉羹,勝利早點,大同包子店,黃記古早饅頭肉包,感性滷味,第三代虱目魚丸,四草蚵仔煎,阿美芭樂,舊來發餅舖,阿松割包,福記肉圓,上好包子坊,﻿深藍咖啡館,台南．阿輝 炒鱔魚(西門圓環店),津屋關東煮,張家燒餅店,東雨壽司,一點刈包,森茂碗粿,橋北屋日本家庭料理,何佳佳純手工蔥油餅新市店,舊永瑞珍喜餅,包家四川香腸臘肉,胡記麵館 大煎餃,西海岸活蝦之家餐廳,阿龍意麵,花園夜市 冬瓜寶,王氏魚皮,連得堂餅舖,榮盛米糕,京風鐵板燒,包成羊肉,所長茶葉蛋,傅美麗油飯(米糕專門),泉成點心店,小虎烤鴨,白糖粿,王媽媽麵店,鹽行 阿義外省麵,芬蘭,延齡堂,小豆豆鹽水意麵,阿枝牛肉湯,韋家乾麵,阿銘點心攤,你我他之家,清珍鴨肉羹,泉記狀元粿,鄭土產牛肉湯,泉記米行,鹹酥雞/三角骨,旗哥牛肉湯,榮興水果店,Cosby Saloon,松霖茶坊,開山順天冰棒,原水交社 阿菊麵店,八寶彬圓仔惠,廣東油雞大王,阿美飯店,下大道青草茶,首府米糕棧,卓家汕頭魚麵意麵,阿美綠豆湯,日式炒飯炒意麵,阿娟鴨肉羹 咖哩飯,阿亮香雞排,無名愛玉冰,福樂屋,水仙宮,祿記肉包,阿瑞意麵,進來涼冬瓜茶(兩角銀)(安平總店),永華阿美綠豆湯,銀波布丁,瑞比冰淇淋店,福泰飯桌,友誠蝦仁肉圓專賣店,阿布丁丁專賣店,進福炒鱔魚專家,小西腳碗粿,大道包子店,榮吉牛羊肉專賣店,彩虹日本料理,肉包輝意麵,123冰城,趙家燒餅,阿龍香腸熟肉,阿亮雞排,紅磚布丁,鄭記黑珍珠玉米,古都鴨家莊,名東現烤蛋糕,火力雞嘉義火雞肉飯,福人素食,小茂屋,阿國鵝肉,上富小吃,香圃麵店,阿村餐廳,金夜冷飲店,福人素食自助餐,哈燻蛋,怡東現炒,麵條王海產麵,西市場,香城手扒雞(原東帝士百貨),阿銘牛肉麵,阿文豬心,上濱小吃店,正宗古早味粉圓,金鳳老牌陽春麵,春捲冰淇淋,大溝乾麵,鎮傳四神湯,安平古堡,松仔腳燒烤,老鄭牛肉麵,甕王雞,炸蛋蔥油餅,吉慶,武廟肉圓,小南碗粿,原水交社宿舍群暨文化景觀,阿霞飯店,伊都日本料理,萬紅刀切麵,永祺蝦仁肉圓,羊城油雞廣東小館,迦南水果店,郭家綠豆湯,竹記鴨肉專賣,老李炒螺肉,小豆豆鍋燒意麵,統大炭烤雞排,西門圓環永樂市場,阿娟肉粽,佳湘西點烘培店,美鳳彌月油飯(東菜巿場內),陳家蚵捲,清祺素食點心部,楊哥楊桃湯,正記肉圓大王,原水交社 蔡家豆漿,度小月擔仔麵,萬伯鹹粥,羊城油雞,周氏蝦捲,惠比壽鯛魚燒,廟口清燉牛肉麵,鄭記土魠魚羹,楊哥楊嫂肉粽,合豐排骨飯,羊肉攤 LAMB,三好一公道當歸鴨,江川肉燥飯,再發號百年肉粽,蘇家鍋燒意麵,永記虱目魚丸,圓環頂菜粽肉粽,赤崁食堂,阿財(詹)點心,友利火鍋,山里愛玉冰,大菜市包仔王,阿憨鹹粥,古堡蚵仔煎專賣店,進來涼木瓜牛奶,鬍鬚臭豆腐,太陽牌冰品,辛村籽煙燻魯味,漢家郎手扒雞專賣店,蘇蝦仁肉圓,天從伯魚丸湯
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
江水號,安徒生咖啡,蜜桃香冷飲店,春水堂人文茶館,松村燻之味,妙壽宮,吾亦私,緣園素食,姚 燒鳥,總理餐廳,石精臼蚵仔煎,亞堤咖啡,清之心燒烤,古典玫瑰園,桃山日本料理,萬福樓餐館,富盛號碗粿,莉莉水果店,哈拉里咖啡專櫃,麻辣世家,原水仙宮當歸鴨,三好一公道,比薩茶坊,全家樂川菜小館,榮星川菜餐廳,上海好味道小籠湯包,寧記麻辣火鍋,老友小吃店,滬豐上海湯包館 滬豐食品,夫妻肺片麻辣鍋,山根壽司,下大道米糕,江浙小小大東園小館,阿銘牛肉湯,鄭牛肉湯,水仙宮清淇當歸鴨,金得春捲,石堡,劉家楊桃湯,東巧鴨肉羹,大同包子店,林園咖啡生活館,第三代虱目魚丸,富山日本料理,歐瑟咖啡,阿松割包,福記肉圓,瑪琪哈朵咖啡,東雨壽司,翰林茶館,丸三海津餐廳,大鋤花間,阿龍意麵,歐風館餐廳,Mini izzy cafe,榮盛米糕,萬福牛肉莊,川田日本料理,葡苑,尚品咖啡,小豆豆鹽水意麵,次郎海產,上閤屋日本料理,阿銘點心攤,你我他之家,清珍鴨肉羹,唐莊粵菜餐廳,濃園滿漢餐廳,圓緣園素菜餐廳,鄭土產牛肉湯,府城黃家蝦捲(原鴨母寮蝦捲),331號冰舖,金冠台菜海鮮餐廳,地球咖啡,榮興水果店,歐風館,東園手工水餃,綠橄欖,開山順天冰棒,大使海鮮餐廳,八寶彬圓仔惠,阿美飯店,首府米糕棧,許家芋粿 蝦仁肉圓,小豪洲沙茶爐,無名愛玉冰,水仙宮,祿記肉包,福樓小館,名流咖啡店,進來涼冬瓜茶(兩角銀)(安平總店),曼谷泰國餐廳,瑞比冰淇淋店,福泰飯桌,歐加里,老羊城餐廳,繆思義式餐坊(原繆思園),臺南孔子廟,榮吉牛羊肉專賣店,彩虹日本料理,肉包輝意麵,許家芋粿、蝦仁肉圓,新榕江沙茶爐,薄荷糖,武岩,上富小吃,波哥,金夜冷飲店,怡東現炒,西市場,阿銘牛肉麵,三皇三家,銀座日式料理餐廳,石精臼牛肉湯,魚羊鮮豆,18巷花園香草藝術餐廳,檸檬樹咖啡,安平古堡,松仔腳燒烤,千草食堂,老鄭牛肉麵,竹屋,異人館無國界料理,小南碗粿,阿霞飯店,天心岩素食餐廳,伊莉的店,永祺蝦仁肉圓,迦南水果店,一本花田,小豆豆鍋燒意麵,西門圓環永樂市場,阿娟肉粽,話當年咖啡豆的經營,綠素界,陳家蚵捲,大使雨荷舞水餐廳,小桔子複合式餐廳,鑽石樓,上好旗魚羹,正記肉圓大王,東大門韓國料理館,度小月擔仔麵,羊城油雞,國境之南,鄭記土魠魚羹,渝苑川菜餐廳,天堂鳥碳烤店,合豐排骨飯,三好一公道當歸鴨,再發號百年肉粽,一心二葉創意料理部館,蘇家鍋燒意麵,永記虱目魚丸,圓環頂菜粽肉粽,米尼咖啡館,赤崁食堂,花見小路,大菜市包仔王,阿憨鹹粥,古堡蚵仔煎專賣店,進來涼木瓜牛奶,梁記麻辣火鍋專門店,太陽牌冰品,清子香腸燒肉,小倆口,蘇蝦仁肉圓,olily cafe,天從伯魚丸湯
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
安徒生咖啡,春水堂人文茶館,吾亦私,緣園素食,總理餐廳,亞堤咖啡,清之心燒烤,古典玫瑰園,桃山日本料理,萬福樓餐館,哈拉里咖啡專櫃,麻辣世家,比薩茶坊,全家樂川菜小館,榮星川菜餐廳,上海好味道小籠湯包,寧記麻辣火鍋,老友小吃店,滬豐上海湯包館 滬豐食品,夫妻肺片麻辣鍋,山根壽司,江浙小小大東園小館,石堡,林園咖啡生活館,富山日本料理,歐瑟咖啡,瑪琪哈朵咖啡,東雨壽司,翰林茶館,丸三海津餐廳,大鋤花間,歐風館餐廳,Mini izzy cafe,萬福牛肉莊,川田日本料理,葡苑,尚品咖啡,次郎海產,上閤屋日本料理,唐莊粵菜餐廳,濃園滿漢餐廳,圓緣園素菜餐廳,331號冰舖,金冠台菜海鮮餐廳,地球咖啡,歐風館,東園手工水餃,綠橄欖,大使海鮮餐廳,小豪洲沙茶爐,福樓小館,名流咖啡店,曼谷泰國餐廳,歐加里,老羊城餐廳,繆思義式餐坊(原繆思園),臺南孔子廟,彩虹日本料理,新榕江沙茶爐,薄荷糖,武岩,波哥,怡東現炒,三皇三家,銀座日式料理餐廳,魚羊鮮豆,18巷花園香草藝術餐廳,檸檬樹咖啡,安平古堡,千草食堂,竹屋,異人館無國界料理,天心岩素食餐廳,伊莉的店,一本花田,話當年咖啡豆的經營,綠素界,大使雨荷舞水餐廳,小桔子複合式餐廳,鑽石樓,東大門韓國料理館,羊城油雞,國境之南,渝苑川菜餐廳,天堂鳥碳烤店,一心二葉創意料理部館,米尼咖啡館,花見小路,梁記麻辣火鍋專門店,olily cafe
江水號,安徒生咖啡,蜜桃香冷飲店,春水堂人文茶館,松村燻之味,妙壽宮,吾亦私,緣園素食,雙全紅茶,姚 燒鳥,總理餐廳,石精臼蚵仔煎,亞堤咖啡,清之心燒烤,古典玫瑰園,桃山日本料理,萬福樓餐館,富盛號碗粿,莉莉水果店,哈拉里咖啡專櫃,麻辣世家,原水仙宮當歸鴨,赤崁樓浮水花枝羹專賣店,三好一公道,比薩茶坊,全家樂川菜小館,榮星川菜餐廳,上海好味道小籠湯包,寧記麻辣火鍋,老友小吃店,滬豐上海湯包館 滬豐食品,夫妻肺片麻辣鍋,山根壽司,下大道米糕,江浙小小大東園小館,阿銘牛肉湯,老曾羊肉店,鄭牛肉湯,水仙宮清淇當歸鴨,金得春捲,石堡,劉家楊桃湯,東巧鴨肉羹,大同包子店,林園咖啡生活館,感性滷味,第三代虱目魚丸,富山日本料理,歐瑟咖啡,阿松割包,福記肉圓,瑪琪哈朵咖啡,東雨壽司,森茂碗粿,翰林茶館,丸三海津餐廳,大鋤花間,阿龍意麵,歐風館餐廳,Mini izzy cafe,榮盛米糕,萬福牛肉莊,川田日本料理,葡苑,傅美麗油飯(米糕專門),尚品咖啡,小豆豆鹽水意麵,次郎海產,上閤屋日本料理,阿銘點心攤,你我他之家,清珍鴨肉羹,唐莊粵菜餐廳,濃園滿漢餐廳,圓緣園素菜餐廳,鄭土產牛肉湯,府城黃家蝦捲(原鴨母寮蝦捲),331號冰舖,金冠台菜海鮮餐廳,地球咖啡,榮興水果店,歐風館,東園手工水餃,綠橄欖,松霖茶坊,開山順天冰棒,大使海鮮餐廳,八寶彬圓仔惠,阿美飯店,首府米糕棧,許家芋粿 蝦仁肉圓,小豪洲沙茶爐,阿美綠豆湯,無名愛玉冰,水仙宮,祿記肉包,福樓小館,名流咖啡店,進來涼冬瓜茶(兩角銀)(安平總店),永華阿美綠豆湯,曼谷泰國餐廳,瑞比冰淇淋店,福泰飯桌,歐加里,友誠蝦仁肉圓專賣店,老羊城餐廳,繆思義式餐坊(原繆思園),臺南孔子廟,榮吉牛羊肉專賣店,彩虹日本料理,肉包輝意麵,許家芋粿、蝦仁肉圓,福人素食,新榕江沙茶爐,薄荷糖,武岩,阿國鵝肉,上富小吃,波哥,金夜冷飲店,福人素食自助餐,怡東現炒,西市場,阿銘牛肉麵,三皇三家,銀座日式料理餐廳,阿文豬心,石精臼牛肉湯,魚羊鮮豆,18巷花園香草藝術餐廳,檸檬樹咖啡,安平古堡,松仔腳燒烤,千草食堂,老鄭牛肉麵,甕王雞,竹屋,異人館無國界料理,員林肉圓,武廟肉圓,小南碗粿,阿霞飯店,天心岩素食餐廳,伊莉的店,永祺蝦仁肉圓,羊城油雞廣東小館,迦南水果店,一本花田,郭家綠豆湯,小豆豆鍋燒意麵,西門圓環永樂市場,阿娟肉粽,話當年咖啡豆的經營,綠素界,陳家蚵捲,大使雨荷舞水餐廳,小桔子複合式餐廳,清祺素食點心部,鑽石樓,上好旗魚羹,正記肉圓大王,東大門韓國料理館,度小月擔仔麵,羊城油雞,國境之南,鄭記土魠魚羹,渝苑川菜餐廳,天堂鳥碳烤店,楊哥楊嫂肉粽,合豐排骨飯,三好一公道當歸鴨,再發號百年肉粽,一心二葉創意料理部館,蘇家鍋燒意麵,永記虱目魚丸,圓環頂菜粽肉粽,米尼咖啡館,赤崁食堂,花見小路,大菜市包仔王,阿憨鹹粥,古堡蚵仔煎專賣店,進來涼木瓜牛奶,梁記麻辣火鍋專門店,太陽牌冰品,清子香腸燒肉,林永泰興蜜餞行,小倆口,蘇蝦仁肉圓,olily cafe,天從伯魚丸湯
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
三角窗,藏也和食料理 Kuraya
松江壽司,立成製麵
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
松大沙茶豬牛肉爐,次郎海產,佐佐木古早味麻糬芋冰
水源地海鮮碳烤,T ten平價牛排館
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
武岩,冰島
寶師傅,寶師傅川菜小館
福相麻辣香鍋,立成製麵
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
重慶寺,臺南孔子廟,香草鋪子
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
孔廟文化園區,愛國婦人會館,臺南孔子廟,原台南州廳-台灣文學館
屋根,可儷可麗 これクレープ
MUMU義式咖啡,Mumu小客廳
法羅烤箱 Often Oven,板本章魚燒小丸子
荷風日式炭火燒肉,雙橡園 牛排 簡餐,德元埤荷蘭村,福爾摩沙,東龍意麵,不二家正統食品有限公司,鼎極極地海鮮日本料理,鼎極鴛鴦鍋 鐵板燒－新營店
荷風日式炭火燒肉,雙橡園 牛排 簡餐,德元埤荷蘭村,福爾摩沙,東龍意麵,不二家正統食品有限公司,鼎極極地海鮮日本料理,鼎極鴛鴦鍋 鐵板燒－新營店
Cold Stone酷聖石頂級冰淇淋,金礦咖啡,先麥芋頭酥,達美樂,黑橋牌香腸肉燥飯,東山服務區,仁德大統海產餐廳,欣欣餐廳,義美食品,Mister Donut,正忠排骨飯,四海遊龍鍋貼專賣店,拉亞漢堡,天仁茗茶特級綠茶粉
龍門客棧,福樓小館
鎮北坊文化園區,烏鬼井
綠色空間,南科考古遺址
民生綠園文化園區,原台南州廳-台灣文學館
台南．阿輝 炒鱔魚(西門圓環店),立成製麵
台南都會公園,奇美博物館
千上碗粿,台南都會公園,奇美博物館
祀典大天后宮(寧靖王府邸),度小月擔仔麵
春水堂人文茶館,鄭氏家廟,德化堂,大億麗緻酒店,莉莉水果店,山林事務所,臺南火車站,鶯料理,原日軍步兵第二聯隊營舍(成功大學舊文學院及大成館),原台南警察署(台南市警察局),福記肉圓,原台南山林事務所,原花園尋常小學校本館,台灣天壇,臺灣府城城垣南門段殘蹟,原台南縣知事官邸,愛國婦人會館,原台南測候所,鄭成功文物館,臺南孔子廟,立成製麵,原日軍步兵第二聯隊營舍(成功大學禮賢樓),林百貨,原台南州廳-台灣文學館,原台灣府城東門段城垣殘蹟,原台南武德殿,原日本勸業銀行台南支店(土地銀行台南分行),窄門咖啡,原嘉南大圳組合事務所
老乾杯,慕紅豆,歐貝拉,8%ice 冰淇淋專門店,炸蛋蔥油餅,七福神鯛魚燒
立成製麵,宇宙大 Etonner,太陽牌冰品
烏山頭水庫,臺灣府城隍廟,開元寺,臺南火車站,大東門,臺南孔子廟,億載金城(二鯤鯓砲台),五妃廟,安平古堡,原台南放送局(前中廣台南台),原台南神社事務所,原台南武德殿
臺灣府城隍廟,臺南火車站,北極殿,五條港文化園區,大東門,台灣天壇,原台南縣知事官邸,東安坊文化園區
觀2 Lounge Bar,國立臺灣歷史博物館,原台南州廳-台灣文學館
貴族世家,欣欣餐廳,綠色魔法學校,曾文水庫
關廟山西宮,ROBI in house
﻿深藍咖啡館,葉家小卷米粉,碳佐麻里,山美鄭記碗粿,度小月擔仔麵,阿憨鹹粥
億載金城(二鯤鯓砲台),安平古堡,度小月擔仔麵
葡吉麵包店,食為先本舖 關廟土鳳梨酥
MR.WISH,一手私藏世界紅茶,波利麵包店
松村燻之味,阿鳳浮水虱目魚焿,雙全紅茶,布萊恩紅茶,體育公園杏仁豆腐冰,Mister Donut,阿龍香腸熟肉
金格 小洋樓,金龍彩,聖保羅烘焙花園,小南蕨 Le Petit Baron,OH!MISS.荳荳,不二家正統食品有限公司,白木屋,熊菓子 煎餅,PASA,郭元益
椰子樹coconut Tree,三山國王廟
可儷可麗 これクレープ,坂本食堂複合式餐飲
赤崁擔仔麵,度小月擔仔麵
可儷可麗 これクレープ,神川和風料理
可儷可麗 これクレープ,原野炭燒羊肉爐
可儷可麗 これクレープ,咖啡屋
和野拉麵,三味
屋根,可儷可麗 これクレープ,咖啡屋
可儷可麗 これクレープ,丹波Dambo家庭料理,坂本食堂複合式餐飲
元祖食品,可儷可麗 これクレープ
城記擔仔麵,赤崁擔仔麵,城記包子,明新擔仔麵,度小月擔仔麵
焗米 G-Me焗烤壽司,台南市原住民文化會館(札哈木公園),焗米G-me 焗烤壽司
大億麗緻酒店,台糖長榮酒店,香格里拉台南遠東大飯店,嘉鄉豆花,台南大飯店,布拉格義大利麵,西華蛋糕,福泰飯桌,碳佐麻里,怡東現炒,黃金海岸,天下大飯店,萊庭泰式餐廳
安平樹屋,原台灣總督府專賣局台南支局安平分室,北極殿
延平老街,黃金海岸
胡桃鉗義大利麵店,吉食館,小倆口
味新豆花,章成麥芽餅,林門玉餃,章成食品,川仔魯麵
馬沙溝濱海遊樂區,臺南孔子廟,城記包子,萬味珍海產店,海霸王火鍋料
良緣湘菜館,奇藝烘焙坊
妙壽宮,臺灣府城隍廟
妙壽宮,臺灣府城隍廟,海山館,延平老街,北極殿
舒果新米蘭蔬食,台灣天壇,豆奶宗 宵夜 早點
孔廟文化園區,臺南孔子廟
阿龍意麵,山記魚仔店
海山館,延平老街,安平海頭社魏宅
